Commande	Oeil	Type	Matiere	Diametre	Base	Sphere	Mesure.Sphere	Cylindre	Mesure.cylindre	Axe	Mesure axe	Addition	Mesure addition	Epais. centre	MesureEpais. centre
7624063	D	ORG	BL	71	0.5	-8	-7.99	1.25	1.17	90	30		0	22	21.6
7624063	G	ORG	BL	71	0.5	-8.75	-8.83	1.75	1.79	90	155		0	22	21.4
7637084	D	ORG	BL	71	0.5	-7.5	-7.59	1	1.02	90	63		0	22	21.9
7637084	G	ORG	BL	71	0.5	-8.75	-8.78	1	1.01	85	119		0	22	22.2
7623796	D	ORG	BL	71	0.5	-9.25	-9.32	1.25	1.22	100	143		0	22	21.4
7623796	G	ORG	BL	71	0.5	-9.25	-9.39	1	0.99	85	136		0	22	21
7631731	D	ORG	BL	71	0.5	-8.5	-8.53	0.75	0.79	70	40		0	22	21.8
7631731	G	ORG	BL	71	0.5	-9	-9.14	2.5	2.59	80	82		0	22	21.3
7627428	D	ORG	BL	71	0.5	-11.5	-11.58	2.25	2.12	115	45		0	22	21.9
7627428	G	ORG	BL	71	0.5	-10.5	-10.56	1.25	1.2	10	124		0	22	21.1
7630474	D	ORG	BL	75	2.5	-6.5	-6.57		0.01		160		0	22	22.5
7630474	G	ORG	BL	75	2.5	-6.75	-6.75	0.5	0.5	40	137		0	22	22.1
7626445	D	ORG	BL	75	2.5	-6.25	-6.35	1.5	1.56	115	154		0	22	22.9
7627655	D	ORG	BL	75	2.5	-7.5	-7.46	0.75	0.76	110	96		0	22	23.1
7627655	G	ORG	BL	75	2.5	-7.25	-7.22	0.75	0.76	65	168		0	22	22.7
7633922	D	ORG	BL	75	2.5	-6.5	-6.51	0.5	0.5	160	52		0	22	23.2
7633922	G	ORG	BL	75	2.5	-6.5	-6.5		0.01		53		0	22	22.6
7634560	D	ORG	BL	75	2.5	-6.5	-6.57	2.25	2.31	90	15		0	22	23.2
7624316	D	ORG	BL	75	2.5	-4.25	-4.26		0.03		0		0	22	22.6
7624351	G	ORG	BL	75	2.5	-6.75	-6.8		0		126		0	22	22.4
7628754	G	ORG	BL	75	2.5	-6.5	-6.56	0.5	0.54	58	155		0	22	21.5
7630041	G	ORG	BL	75	2.5	-7.25	-7.26	0.75	0.78	180	91		0	22	21.5
7631378	G	ORG	BL	75	2.5	-7.25	-7.22	0.5	0.49	120	0		0	22	22.4
7632225	D	ORG	BL	75	2.5	-8	-7.99	1	1	90	121		0	22	21.5
7632225	G	ORG	BL	75	2.5	-8	-8.04	1	1.02	90	61		0	22	21.5
7632614	D	ORG	BL	75	2.5	-6.25	-6.29		0.03		128		0	22	22.8
7636491	D	ORG	BL	75	2.5	-5	-5.05	0.25	0.27	180	28		0	22	22.8
7631216	D	ORG	BL	75	2.5	-6.25	-6.19	0.5	0.5	180	43		0	22	23.2
7630200	G	ORG	BL	75	2.5	-5	-5.06		0.03		118		0	22	22.5
7630069	D	ORG	BL	75	2.5	-7	-7.06	0.5	0.52	15	67		0	22	22.4
7630069	G	ORG	BL	75	2.5	-7.5	-7.49	1	1.04	150	48		0	22	22.4
7623412	D	ORG	BL	75	2.5	-6.75	-6.75	0.5	0.48	100	170		0	22	22.3
7624445	D	ORG	BL	75	2.5	-7.75	-7.7	0.75	0.73	4	64		0	22	23.4
7624445	G	ORG	BL	75	2.5	-6.5	-6.5	0.5	0.5	5	13		0	22	22.9
7634691	D	ORG	BL	75	2.5	-6	-5.9	0.5	0.48	180	49		0	22	23.4
7634691	G	ORG	BL	75	2.5	-7	-6.93	0.5	0.51	90	173		0	22	23.4
7631600	D	ORG	BL	75	2.5	-6.25	-6.28	0.25	0.21	100	6		0	22	22.8
7631600	G	ORG	BL	75	2.5	-6.5	-6.51		0.01		68		0	22	21.8
7639843	D	ORG	BL	75	2.5	-7.25	-7.28	0.75	0.7	180	97		0	22	23.3
7639843	G	ORG	BL	75	2.5	-6.5	-6.61	0.25	0.23	180	9		0	22	22.6
7637434	D	ORG	BL	75	3.5	-1	-1.04	0.75	0.81	155	155		0	22	23.5
7637434	G	ORG	BL	75	3.5	-0.5	-0.55		0.03		134		0	22	22.4
7633797	D	ORG	BL	75	4.5	-1.25	-1.38	0.25	0.26	120	90		0	22	21.9
